"","year","couprisk"
"6","1976",0.01149712
"7","1978",0.016999828
"9","1979",0.033330426
"11","1979",0.029056497
"13","1990",0.006654937
"14","1992",0.018556176
"16","1996",0.010646207
"18","2001",0.005683677
"19","2021",0.0004100216
"21","1998",0.0032444173
"27","1991",0.0010275986
"28","1992",0.0035698977
"30","1992",0.009547581
"31","1994",0.027632233
"33","2019",0.019111115
"35","1975",0.0062064514
"36","1977",0.003652815
"61","1975",0.015206216
"62","1976",0.017085815
"64","1981",0.0022326943
"66","1982",0.008536132
"68","1987",0.0009891116
"69","1988",0.0010403516
"70","1990",0.0011528495
"71","2016",0.0026009278
"72","1992",0.019679192
"74","1992",0.02314292
"76","1994",0.0030332115
"77","1995",0.0068015517
"78","2005",0.0006661031
"79","2011",0.00032007653
"80","1975",0.0091058025
"82","1975",0.010267463
"84","1975",0.010267463
"86","1977",0.015252236
"87","1981",0.025354639
"89","1982",0.013847961
"91","1990",0.022333758
"93","1996",0.015482927
"94","2007",0.00588262
"96","2012",0.004912253
"97","2021",0.0017843815
"111","1975",0.022015573
"112","1975",0.024355765
"113","1977",0.0067731934
"144","1977",0.011531475
"145","1978",0.038499217
"147","1978",0.025530057
"148","1978",0.033090826
"150","1979",0.038588174
"151","1979",0.050562747
"154","1979",0.050562747
"157","1980",0.038643554
"159","1981",0.03858752
"160","1981",0.03858752
"161","1981",0.034653608
"162","1981",0.036816113
"164","1982",0.07147871
"166","1984",0.024724187
"167","1984",0.025081461
"168","2019",0.0030781939
"182","1989",0.0015508508
"187","1980",0.009939463
"189","1982",0.013962812
"191","1983",0.022183454
"193","1987",0.024573628
"195","1989",0.019233517
"196","2003",0.0014842398
"197","2014",0.004780807
"198","2015",0.022926332
"199","2015",0.022926332
"200","2016",0.011503111
"209","1976",0.011141686
"211","1976",0.011141686
"213","1987",0.0029097118
"215","1993",0.012157157
"217","1993",0.021708114
"220","1993",0.021708114
"223","1994",0.01666874
"225","1996",0.02032799
"227","2001",0.0134095065
"228","2001",0.017105108
"229","2006",0.007086709
"230","2015",0.005147557
"233","1975",0.013353237
"235","1977",0.0017520201
"236","1979",0.01698964
"238","1994",0.0018493045
"239","1997",0.009895467
"241","2000",0.0021291636
"242","1984",0.0050706696
"246","1976",0.002457235
"247","1979",0.011408078
"249","1981",0.0014398203
"251","1982",0.003429578
"252","2001",0.0018944298
"253","2002",0.0035426656
"254","2003",0.010284081
"256","2021",0.00074406574
"259","1975",0.01422716
"261","1975",0.01422716
"263","1977",0.009259668
"264","1982",0.003068939
"266","1989",0.0072251474
"267","1990",0.010327881
"269","1991",0.010458386
"270","1992",0.011975127
"271","2006",0.0027828466
"272","2006",0.013547098
"273","2008",0.0021372144
"274","2013",0.0017634694
"275","2021",0.0057355934
"282","1975",0.02515067
"286","1980",0.0005741338
"295","1975",0.0091121765
"297","1977",0.008330123
"298","1978",0.012862807
"300","1989",0.0067154705
"301","1992",0.018496457
"302","1995",0.020062169
"304","1995",0.020498797
"306","1999",0.010562661
"308","2000",0.015027434
"330","1977",0.00819535
"333","1978",0.003550838
"335","1979",0.007840209
"338","1979",0.007840209
"341","1997",0.007839226
"344","2005",0.0040535997
"351","1991",0.0020460554
"352","1999",0.0088978615
"354","2000",0.015523575
"355","2000",0.03033692
"357","2001",0.016729433
"358","2002",0.011745277
"359","2012",0.0019920361
"383","1987",0.0004270578
"393","1975",0.014514243
"395","1992",0.012766208
"397","1997",0.0030621942
"400","2004",0.0015678891
"402","2004",0.0015363956
"404","2013",0.0014921605
"407","1991",0.006982202
"408","1981",0.00024197306
"424","2008",0.0006036702
"441","1975",0.0076361275
"442","1976",0.034720436
"444","1986",0.004757438
"445","2000",0.007134996
"447","2005",0.0010710328
"463","2011",0.0009625309
"465","2013",0.011192759
"475","1979",0.00997429
"477","1980",0.018366024
"479","2020",0.0005732516
"481","1979",0.0065273643
"483","1986",0.00413821
"484","2004",0.0008779521
"485","2013",0.0018407165
"492","1977",0.020825705
"494","1977",0.020825705
"496","1989",0.0022861322
"497","1991",0.011804866
"500","1991",0.011804866
"503","2009",0.0012455996
"504","1987",0.0026453559
"506","1987",0.0036033287
"507","2000",0.0063130674
"509","2000",0.0014415766
"510","2006",0.0022463554
"514","2019",0.0005682208
"515","1981",0.0008322051
"516","1994",0.00898319
"518","1994",0.011689034
"519","2006",0.0053487173
"520","2014",0.0014122034
"522","1992",0.012650763
"524","1999",0.0014854579
"525","2003",0.0012161642
"527","2006",0.0006304744
"533","1989",0.0003899064
"536","1989",0.0005051541
"549","1978",0.008712582
"551","1979",0.03421811
"552","1979",0.052619487
"554","1981",0.011591636
"556","1982",0.029492367
"557","1983",0.04040706
"558","1984",0.041359134
"567","1975",0.0048991935
"568","1979",0.00045148053
"570","1983",0.007152697
"573","1983",0.007152697
"576","1983",0.007152697
"594","1982",0.0063033677
"596","1982",0.009221238
"597","1983",0.015928429
"599","1988",0.0038489446
"600","1989",0.0051293583
"601","1993",0.010800504
"605","1984",0.00398033
"607","1985",0.014885844
"608","1996",0.002699723
"609","2008",0.011777469
"611","2009",0.026396286
"613","2011",0.0038278827
"614","1980",0.01899991
"616","1985",0.011639731
"617","1998",0.0065489
"618","1999",0.022181114
"621","2000",0.017215107
"622","2001",0.018066823
"623","2003",0.01521444
"626","2005",0.026175084
"627","2008",0.009014409
"628","2008",0.0020249523
"629","2010",0.009173022
"630","2012",0.024765663
"632","2012",0.017483259
"634","1983",0.0011234732
"657","1984",0.0039407923
"658","1986",0.004049041
"660","1988",0.019822387
"662","1988",0.030508455
"664","1989",0.013857466
"665","1990",0.034617845
"667","1991",0.033176746
"668","1991",0.041309662
"670","1994",0.019078968
"672","2000",0.009030553
"673","2004",0.00304635
"683","1975",0.008747724
"685","1977",0.0038697596
"686","1978",0.012587177
"688","2009",0.0070906696
"697","1988",0.0009053418
"705","1998",0.0122204535
"707","2001",0.0019488101
"713","1979",0.0028934057
"714","1979",0.003891502
"715","1980",0.0059518036
"716","1980",0.003962622
"717","1980",0.0035746736
"718","1981",0.0024555204
"719","1982",0.0006225538
"736","1979",0.0068745194
"738","1995",0.0055072936
"739","1995",0.0069468874
"740","1995",0.005026458
"741","1996",0.007793141
"743","1993",0.00059865287
"744","1980",0.0010015506
"749","2021",0.0005145272
"752","1982",0.0007809049
"753","2005",0.0009654403
"754","2010",0.0008077115
"770","1975",0.0072825933
"771","1975",0.0054663518
"773","2007",0.0023310366
"776","1976",0.007385284
"779","1986",0.0071613607
"781","1990",0.005262061
"782","1990",0.0048540793
"783","1991",0.0085979495
"784","1994",0.014367188
"786","1996",0.015950507
"787","2009",0.0038617617
"788","2014",0.0011350119
"790","1980",0.011162954
"791","1980",0.010155844
"793","1984",0.0061292965
"794","1985",0.021924041
"795","1985",0.010011458
